gelma_concentration,cure_adhesive,adhesive_concentration,light_cure_time,print_speed (mm/min),size_of_tip,thickness (mm),Average_Tensile_Strength,STD_Tensile_Strength,Average_Young's_Modulus,STD_Young's_Modulus,Self-renewal(discrete),Ectoderm(discrete),Mesoderm(discrete),Endoderm(discrete),Self-renewal,Ectoderm,Mesoderm,Endoderm
0.1,I2959,0.0025,30,1500,27,2,8.2982,1.8731,26.2806,2.7119,,,,,,,,
0.1,I2959,0.0025,50,1500,27,2,16.8276,1.8442,38.1465,3.3329,,,,,,,,
0.1,I2959,0.0025,70,1500,27,2,54.4017,4.8886,81.1077,3.7224,,,,,,,,
0.1,I2959,0.0025,90,1500,27,2,113.0133,6.7699,88.8771,3.4178,,,,,,,,
0.125,I2959,0.0025,30,1500,27,2,11.204,1.5612,37.9964,2.4169,,,,,,,,
0.125,I2959,0.0025,50,1500,27,2,24.635,3.0497,57.6353,6.9979,,,,,,,,
0.125,I2959,0.0025,70,1500,27,2,60.8197,3.5895,86.4232,5.2908,,,,,,,,
0.125,I2959,0.0025,90,1500,27,2,114.9875,6.0227,101.9409,10.9301,,,,,,,,
0.15,I2959,0.0025,30,1500,27,2,26.2532,2.4265,56.1935,4.1571,,,,,,,,
0.15,I2959,0.0025,50,1500,27,2,42.0561,3.5101,83.953,7.9058,,,,,,,,
0.15,I2959,0.0025,70,1500,27,2,86.5823,7.1971,114.8399,9.2233,,,,,,,,
0.15,I2959,0.0025,90,1500,27,2,129.0179,9.1735,128.2946,8.2927,,,,,,,,
0.175,I2959,0.0025,30,1500,27,2,49.6544,6.4925,72.7877,7.4338,,,,,,,,
0.175,I2959,0.0025,50,1500,27,2,87.7671,7.13,99.5274,8.9275,,,,,,,,
0.175,I2959,0.0025,70,1500,27,2,115.3209,7.5978,134.5358,10.0611,,,,,,,,
0.175,I2959,0.0025,90,1500,27,2,170.8556,8.7261,192.2952,14.3582,,,,,,,,
0.1,I2959,0.005,30,1500,27,2,27.815,4.6834,40.9955,3.5405,,,,,,,,
0.1,I2959,0.005,50,1500,27,2,43.0067,5.9115,46.4102,4.5337,,,,,,,,
0.1,I2959,0.005,70,1500,27,2,108.4967,8.8621,88.6121,5.2089,,,,,,,,
0.1,I2959,0.005,90,1500,27,2,141.5926,11.346,115.1197,3.6095,,,,,,,,
0.125,I2959,0.005,30,1500,27,2,24.4895,3.7724,66.0026,7.5391,,,,,,,,
0.125,I2959,0.005,50,1500,27,2,70.6783,8.4575,100.9712,5.9875,,,,,,,,
0.125,I2959,0.005,70,1500,27,2,119.7601,7.263,137.7818,11.8077,,,,,,,,
0.125,I2959,0.005,90,1500,27,2,135.6473,4.7042,155.5951,10.3333,,,,,,,,
0.15,I2959,0.005,30,1500,27,2,67.1452,4.901,86.6628,4.8922,,,,,,,,
0.15,I2959,0.005,50,1500,27,2,94.248,7.0677,111.2947,7.0292,,,,,,,,
0.15,I2959,0.005,70,1500,27,2,125.617,5.7369,182.3351,7.0167,,,,,,,,
0.15,I2959,0.005,90,1500,27,2,162.152,9.6777,199.3715,9.1423,,,,,,,,
0.175,I2959,0.005,30,1500,27,2,112.2974,6.0031,115.0903,8.1167,,,,,,,,
0.175,I2959,0.005,50,1500,27,2,147.7385,8.2379,154.3629,10.3854,,,,,,,,
0.175,I2959,0.005,70,1500,27,2,230.6528,19.397,214.0825,13.6906,,,,,,,,
0.175,I2959,0.005,90,1500,27,2,262.2667,14.608,280.0802,17.452,,,,,,,,
0.1,LAP,0.0025,30,1500,27,2,26.3372,2.5378,40.4437,3.8609,,NEGATIVE,POSITIVE,POSITIVE,-0.97,0.16,3.46,0.6
0.1,LAP,0.0025,50,1500,27,2,34.4722,2.9819,62.7299,4.3826,,NEGATIVE,POSITIVE,NEGATIVE,-1.23,-0.25,2.01,0.1
0.1,LAP,0.0025,70,1500,27,2,72.1589,6.5559,99.7911,6.2864,,NEGATIVE,POSITIVE,NEGATIVE,-0.94,-0.05,2.18,0.14
0.1,LAP,0.0025,90,1500,27,2,120.6247,6.0107,110.3377,5.9585,,NEGATIVE,POSITIVE,BORDERLINE,-3.34,0.04,5.1,0.33
0.125,LAP,0.0025,30,1500,27,2,43.8888,5.2825,101.9663,8.0165,,NEGATIVE,POSITIVE,BORDERLINE,-3.97,-0.04,4.97,0.26
