gelma_concentration,cure_adhesive,adhesive_concentration,light_cure_time,print_speed (mm/min),size_of_tip (G),thickness (mm),Average_Tensile_Strength,STD_Tensile_Strength,Average_Young's_Modulus,STD_Young's_Modulus
0.1,I2959,0.0025,30,1500,27,2,8.2982,1.8731,26.2806,2.7119
0.1,I2959,0.0025,50,1500,27,2,16.8276,1.8442,38.1465,3.3329
0.1,I2959,0.0025,70,1500,27,2,54.4017,4.8886,81.1077,3.7224
0.1,I2959,0.0025,90,1500,27,2,113.0133,6.7699,88.8771,3.4178
0.125,I2959,0.0025,30,1500,27,2,11.2040,1.5612,37.9964,2.4169
0.125,I2959,0.0025,50,1500,27,2,24.6350,3.0497,57.6353,6.9979
0.125,I2959,0.0025,70,1500,27,2,60.8197,3.5895,86.4232,5.2908
0.125,I2959,0.0025,90,1500,27,2,114.9875,6.0227,101.9409,10.9301
0.15,I2959,0.0025,30,1500,27,2,26.2532,2.4265,56.1935,4.1571
0.15,I2959,0.0025,50,1500,27,2,42.0561,3.5101,83.9530,7.9058
0.15,I2959,0.0025,70,1500,27,2,86.5823,7.1971,114.8399,9.2233
0.15,I2959,0.0025,90,1500,27,2,129.0179,9.1735,128.2946,8.2927
0.175,I2959,0.0025,30,1500,27,2,49.6544,6.4925,72.7877,7.4338
0.175,I2959,0.0025,50,1500,27,2,87.7671,7.1300,99.5274,8.9275
0.175,I2959,0.0025,70,1500,27,2,115.3209,7.5978,134.5358,10.0611
0.175,I2959,0.0025,90,1500,27,2,170.8556,8.7261,192.2952,14.3582
0.1,I2959,0.005,30,1500,27,2,27.8150,4.6834,40.9955,3.5405
0.1,I2959,0.005,50,1500,27,2,43.0067,5.9115,46.4102,4.5337
0.1,I2959,0.005,70,1500,27,2,108.4967,8.8621,88.6121,5.2089
0.1,I2959,0.005,90,1500,27,2,141.5926,11.3460,115.1197,3.6095
0.125,I2959,0.005,30,1500,27,2,24.4895,3.7724,66.0026,7.5391
0.125,I2959,0.005,50,1500,27,2,70.6783,8.4575,100.9712,5.9875
0.125,I2959,0.005,70,1500,27,2,119.7601,7.2630,137.7818,11.8077
0.125,I2959,0.005,90,1500,27,2,135.6473,4.7042,155.5951,10.3333
0.15,I2959,0.005,30,1500,27,2,67.1452,4.9010,86.6628,4.8922
0.15,I2959,0.005,50,1500,27,2,94.2480,7.0677,111.2947,7.0292
0.15,I2959,0.005,70,1500,27,2,125.6170,5.7369,182.3351,7.0167
0.15,I2959,0.005,90,1500,27,2,162.1520,9.6777,199.3715,9.1423
0.175,I2959,0.005,30,1500,27,2,112.2974,6.0031,115.0903,8.1167
0.175,I2959,0.005,50,1500,27,2,147.7385,8.2379,154.3629,10.3854
0.175,I2959,0.005,70,1500,27,2,230.6528,19.3970,214.0825,13.6906
0.175,I2959,0.005,90,1500,27,2,262.2667,14.6080,280.0802,17.4520
0.1,LAP,0.0025,30,1500,27,2,26.3372,2.5378,40.4437,3.8609
0.1,LAP,0.0025,50,1500,27,2,34.4722,2.9819,62.7299,4.3826
0.1,LAP,0.0025,70,1500,27,2,72.1589,6.5559,99.7911,6.2864
0.1,LAP,0.0025,90,1500,27,2,120.6247,6.0107,110.3377,5.9585
0.125,LAP,0.0025,30,1500,27,2,43.8888,5.2825,101.9663,8.0165
0.125,LAP,0.0025,50,1500,27,2,47.8686,5.0743,131.6178,11.4949
0.125,LAP,0.0025,70,1500,27,2,88.9540,6.6612,125.4647,13.9662
0.125,LAP,0.0025,90,1500,27,2,113.6351,9.3020,168.7806,21.5439
0.15,LAP,0.0025,30,1500,27,2,90.3236,14.1328,156.4541,23.4448
0.15,LAP,0.0025,50,1500,27,2,105.8450,9.7313,189.2314,4.0861
0.15,LAP,0.0025,70,1500,27,2,127.7831,6.1015,237.1317,22.7283
0.15,LAP,0.0025,90,1500,27,2,164.1543,16.4197,256.3170,21.8044
0.175,LAP,0.0025,30,1500,27,2,116.5058,9.3993,187.6453,5.8212
0.175,LAP,0.0025,50,1500,27,2,122.3374,6.2768,226.6013,12.6346
0.175,LAP,0.0025,70,1500,27,2,155.1646,6.7818,289.8357,9.6934
0.175,LAP,0.0025,90,1500,27,2,259.2576,15.4179,336.2037,17.1463
0.1,LAP,0.005,30,1500,27,2,44.2752,3.1890,61.1903,3.3405
0.1,LAP,0.005,50,1500,27,2,60.3716,4.9060,77.8502,4.9546
0.1,LAP,0.005,70,1500,27,2,133.8044,10.1158,113.8753,9.5289
0.1,LAP,0.005,90,1500,27,2,159.1536,13.3752,146.0035,9.7616
0.125,LAP,0.005,30,1500,27,2,85.1303,7.0198,154.2658,8.9653
0.125,LAP,0.005,50,1500,27,2,123.3853,11.9030,187.9346,8.8928
0.125,LAP,0.005,70,1500,27,2,173.9150,15.8976,266.4048,26.5848
0.125,LAP,0.005,90,1500,27,2,192.2450,19.3503,303.5128,18.7807
0.15,LAP,0.005,30,1500,27,2,115.8848,13.7815,299.7708,20.1552
0.15,LAP,0.005,50,1500,27,2,169.9112,8.7297,311.0333,16.9558
0.15,LAP,0.005,70,1500,27,2,203.6924,10.2669,334.2614,16.2257
0.15,LAP,0.005,90,1500,27,2,229.9144,17.1020,361.3154,11.9500
0.175,LAP,0.005,30,1500,27,2,215.1046,13.5266,316.9759,14.5283
0.175,LAP,0.005,50,1500,27,2,335.9755,22.5258,348.3154,19.6500
0.175,LAP,0.005,70,1500,27,2,426.0446,18.1072,408.7987,15.3620
0.175,LAP,0.005,90,1500,27,2,515.7863,17.3299,580.1232,17.3019
