gelma_concentration,cure_adhesive,adhesive_concentration,light_cure_time,groove_angle,maxMises,maxPrincipal,minPrincipal,convergence
0.1000 ,LAP,0.0025 ,30,0,34890.9400 ,39004.3300 ,-5287.3600 ,TRUE
0.1000 ,LAP,0.0025 ,30,5,35123.9700 ,39035.9100 ,-4331.6300 ,TRUE
0.1000 ,LAP,0.0025 ,30,10,8018.8100 ,9049.1000 ,-1278.2100 ,FALSE
0.1000 ,LAP,0.0025 ,30,15,21165.6500 ,23353.6600 ,-2752.4700 ,FALSE
0.1000 ,LAP,0.0025 ,30,20,36314.8000 ,38649.1400 ,-5237.9200 ,TRUE
0.1000 ,LAP,0.0025 ,30,25,36640.1900 ,38325.9600 ,-4385.2700 ,TRUE
0.1000 ,LAP,0.0025 ,30,30,26907.6200 ,27564.1200 ,-4070.9400 ,FALSE
0.1000 ,LAP,0.0025 ,30,35,36153.0200 ,37911.5500 ,-4982.9800 ,TRUE
0.1000 ,LAP,0.0025 ,30,40,35359.8900 ,36111.2900 ,-3337.1600 ,TRUE
0.1000 ,LAP,0.0025 ,30,45,31414.3000 ,31562.2900 ,-3957.4700 ,FALSE
0.1000 ,LAP,0.0025 ,30,50,32614.4900 ,33712.9300 ,-4301.0000 ,TRUE
0.1000 ,LAP,0.0025 ,30,55,30866.9300 ,30723.9400 ,-3974.9000 ,TRUE
0.1000 ,LAP,0.0025 ,30,60,28834.0300 ,28880.3100 ,-3463.0100 ,TRUE
0.1000 ,LAP,0.0025 ,30,65,26208.0000 ,26591.6900 ,-2422.1100 ,TRUE
0.1000 ,LAP,0.0025 ,30,70,23978.2300 ,26161.3300 ,-1974.4300 ,TRUE
0.1000 ,LAP,0.0025 ,30,75,21000.1700 ,24068.2200 ,-1561.4400 ,FALSE
0.1000 ,LAP,0.0025 ,30,80,21354.1200 ,24534.0000 ,-1371.1800 ,TRUE
0.1000 ,LAP,0.0025 ,30,85,21042.1400 ,24060.1800 ,-1246.7000 ,TRUE
0.1000 ,LAP,0.0025 ,30,90,21159.9100 ,23365.0800 ,-1119.4500 ,TRUE
0.1000 ,LAP,0.0025 ,50,0,146067.5600 ,163287.8600 ,-22135.0100 ,TRUE
0.1000 ,LAP,0.0025 ,50,5,147043.1400 ,163420.0800 ,-18133.9700 ,TRUE
0.1000 ,LAP,0.0025 ,50,10,33569.9700 ,37883.1800 ,-5351.0900 ,FALSEALTER
0.1000 ,LAP,0.0025 ,50,15,88607.9500 ,97767.8700 ,-11522.9400 ,FALSE
0.1000 ,LAP,0.0025 ,50,20,152028.4100 ,161800.9100 ,-21928.0300 ,TRUE
0.1000 ,LAP,0.0025 ,50,25,153390.6400 ,160447.9500 ,-18358.5200 ,TRUE
0.1000 ,LAP,0.0025 ,50,30,112646.1800 ,115394.5200 ,-17042.5800 ,FALSE
0.1000 ,LAP,0.0025 ,50,35,151351.1400 ,158713.0500 ,-20860.7800 ,TRUE
0.1000 ,LAP,0.0025 ,50,40,148030.8100 ,151176.4200 ,-13970.7000 ,TRUE
0.1000 ,LAP,0.0025 ,50,45,131512.9400 ,132132.5200 ,-16567.5800 ,FALSE
0.1000 ,LAP,0.0025 ,50,50,136537.4200 ,141135.9200 ,-18005.7300 ,TRUE
0.1000 ,LAP,0.0025 ,50,55,129221.4300 ,128622.8200 ,-16640.5200 ,TRUE
0.1000 ,LAP,0.0025 ,50,60,120710.9000 ,120904.6400 ,-14497.5500 ,TRUE
0.1000 ,LAP,0.0025 ,50,65,109717.2500 ,111323.5700 ,-10139.9500 ,TRUE
0.1000 ,LAP,0.0025 ,50,70,100382.5500 ,109521.9100 ,-8265.7600 ,TRUE
0.1000 ,LAP,0.0025 ,50,75,87915.2000 ,100759.2800 ,-6536.8100 ,FALSE
0.1000 ,LAP,0.0025 ,50,80,89396.9800 ,102709.2400 ,-5740.3000 ,TRUE
0.1000 ,LAP,0.0025 ,50,85,88090.9100 ,100725.6400 ,-5219.1800 ,TRUE
0.1000 ,LAP,0.0025 ,50,90,88583.9400 ,97815.6600 ,-4686.4700 ,TRUE
0.1000 ,LAP,0.0025 ,70,0,58049.5900 ,64893.2100 ,-8796.8100 ,TRUE
0.1000 ,LAP,0.0025 ,70,5,58437.3000 ,64945.7600 ,-7206.7300 ,TRUE
0.1000 ,LAP,0.0025 ,70,10,13341.2400 ,15055.3900 ,-2126.6100 ,FALSE
0.1000 ,LAP,0.0025 ,70,15,35214.2200 ,38854.5200 ,-4579.4000 ,FALSE
